作者,看板,標題,日期,類型,內文
s10130804 (台北觀察家),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"不是啊就算是台男也不會想養小孩吧
寵物只要你愛牠餵牠帶牠出去玩
牠也無條件愛你

餵狗三日，記你三年；養人三年，只記三天

養個小孩花錢還要擔心他學壞交到壞朋友
不然就路上走著走著就變孝子被鬼島交通收到了
老了他/她也只惦記你的遺產而已吧
不要為了一時爽不戴套好嗎

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：未滿18就不是處女處男不,2024-02,問卦,"看到版上在討論未成年性行為的貼文

很多31歲單身台女說，

「未成年怎麼可以談戀愛」

「萬一不是處男處女怎麼辦」

「噁心，根本是戀童癖」

真的嗎

31歲單身台女真的覺得，未滿18非處男處女很不孝嗎

有沒有八卦？

"
christopherl (Crystal~++),Gossiping,[問卦] 55歲台女：足以引起我兒子性慾的都禁止,2024-02,問卦,"看到台灣很多55歲台女，不能接受未成年人類有性慾

「好噁心，我兒子怎麼可能有性慾」

「應該要把所有足以引起性慾的東西都禁止」

「未成年有性慾根本是戀童癖」


真的嗎

台女真的覺得，未成年有性慾很噁心嗎

有沒有八卦？

"
Oilboy (油膩Boy),Gossiping,[問卦] 台女是不是很愛穿醜鞋,2024-02,問卦,"
根據我通勤時觀察台女的經驗

很多台女（僅限辣妹 阿嬤不討論）穿的鞋子都超醜

明明衣服穿很辣 或是西裝外套加黑絲

結果鞋子穿超醜 尤其是那種鞋子屁股有一塊大橡膠還什麼的

有人知道為什麼鞋子要這樣穿嗎
"
christopherl (Crystal~++),Gossiping,[問卦] 45歲台女團體：iWIN可以避免兒子被性污,2024-02,問卦,"看到很多台女支持iWIN

「噁心，未成年怎麼可以有性慾」

「萬一我的兒子學會性行為怎麼辦」

「我兒子還未成年，不可能有性慾」

「如果我兒子談戀愛，一定打死他」

真的嗎

45歲台女團體，真的覺得性行為很噁心，兒子不能性被污染嗎

有沒有八卦？

"
feng19890809 (習近平(近平)),Gossiping,[問卦] 台女露營YT拍攝者都是誰啊?,2024-02,問卦,"標題打 單人露營

但都經過剪接過，奇妙的是 為啥台女躺著，做菜 鏡頭還會移動?

阿不是說單人嗎?


然後角度都很故意，他媽的要露就露，一直遮遮掩掩的有夠不乾脆

台女心機真的很重

一群死肥宅斗內斗殺小

有夠噁的

有卦否?

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：iwin避免兒子被性污染,2024-02,問卦,"看到版上很多31歲單身台女說

「未成年怎麼可以被性污染」

「未成年有性慾根本是戀童癖」

「好噁心，正常人都愛31歲以上的」

「iWIN可以讓我兒子不會被性污染」

真的嗎

31歲單身台女真的覺得，兒子有性慾很噁心嗎

有沒有八卦？

"
herex (魔導戰士破壞者),Gossiping,[問卦] 台女被歐巴老公狠狠揍一頓會報警嗎,2024-02,問卦,"
安安如題

眾所周知韓國是一個女權低落的地方

如果是某些崇拜韓國的台女嫁給韓男

卻沒有好好侍奉歐巴大人

被超派鐵拳狠狠打一頓 會不會報警處理？

如果是被台男打

早就告到對方脫褲子都不夠賠吧

如果被韓男揍會比照辦理嗎？

有掛？




"
deitly (一萬光年的愛情),Gossiping,[問卦] 如何委婉的跟台女說她的刺青超醜,2024-02,問卦,"台女刺青的很多，沒有要戰刺不刺青拉
但有些真的刺的很醜，像是手臂上畫五芒星跟六芒星
該怎麼委婉的跟她說，請她去雷射掉呢

這會不會是台灣少子化的潛在可能因素
挂？


"
leocean9816 (阿光),Gossiping,[新聞] 台女兵公然毆打軍官 兩大過汰除法辦,2024-02,新聞,"世界日報/程嘉文

台女兵公然毆打軍官 兩大過汰除法辦

義務役恢復為一年，部隊管理問題備受各界關注。就在此時，海軍繼光號巡防艦發生公開
暴行犯上事件：一名入伍不到半年的廖姓女兵，因點名缺席被艦上軍官糾正，突然攻擊長
官，導致對方外傷。海軍司令部表示，已將其移送法辦，同時記兩大過汰除。

舷號1105的繼光艦，是國造成功級巡防艦的第三艘，隸屬馬公基地的146艦隊。本案發生
於上月16日，當天繼光艦泊靠碼頭，上午早點名時，廖姓二等兵未到場。艦上理事官隨後
由女性幹部陪同，前往住艙找人，發現廖員將自己反鎖在廁所內。經過勸說仍不開門，理
事官於是要求女幹部入內將其拉出來。廖姓女兵一出廁所就情緒爆發，大罵理事官專門針
對她找麻煩，隨即在眾人面前，對理事官拳打腳踢。

海軍司令部對此表示，依據刑懲併行原則，已將廖員依陸海空軍刑法的違反部屬職責罪移
送檢方偵辦，同步給予大過兩次並且汰除的行政懲處，以正綱紀。依陸海空軍刑法第49條
規定，對長官施強暴、脅迫或恐嚇者，處一年至七年徒刑。

海軍的理事官等於陸軍的值星官，由單位內幹部輪值擔任：軍官擔任理事官，士官擔任副
理事官。官員透露，廖姓女兵入伍至今不到半年，軍階還只是二等兵，艦上幹部先前就發
現，她有生活自律不佳、情緒控管不良等問題，已經被列為重點對象。

近年軍事訓練役的四個月受訓期間，就已頻傳抗命與暴行犯上的案例，如今義務役恢復一
年，外界普遍憂心情況將更嚴重。國防部副部長徐衍璞日前特別為此拜會台北地檢署，舉
行「軍事暨國安案件偵辦聯繫平台會議」，會中也對影響部隊領導統御案件，達成速查嚴
辦的共識，必要時建請法院從重量刑。

https://www.worldjournal.com/wj/story/121475/7752200

"
rickysu303 (Ricky),Gossiping,[問卦] 肥宅跟台女哪個族群顏值低,2024-02,問卦,"肥宅跟台女是台灣兩大族群

那麼這兩個族群

哪個顏值低

讓人看了後會倒胃口呢


"
L1ON (我是獅子~(ﾉﾟ▽ﾟ)ﾉ♪),Gossiping,Re: [問卦] 31歲單身台女：為什麼談戀愛都找年輕的,2024-02,問卦,"
先不說你跟他是有多深仇大恨
要每天31歲單身台女怎樣怎樣的

31歲還單身本身就是個大問題
不是長太醜 太肥
不然就是個性很雞歪

更何況
能幹16歲的妹誰他媽要插31歲的肉鬆老鮑魚？

懷孕就生啊
年輕女孩就是嫩
挑到沒得挑 沒有選擇機會才會考慮31歲以上的阿姨

對了 你仇人的ID分享一下啊

嘻嘻

https://i.imgur.com/qbZVgel.jpg

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：為什麼談戀愛都找年輕的,2024-02,問卦,"看到版上很多31歲單身台女，不能接受未滿18歲談戀愛

「好噁心，根本是戀童癖」

「萬一有性行為怎麼辦」

「萬一懷孕了怎麼辦」

「正常人都愛31歲以上的，喜歡未成年的根本是戀童癖」

真的嗎

31歲單身台女真的覺得，未滿18歲談戀愛是戀童癖嗎

有沒有八卦？

"
n9n9n9n9n91 (n9n9n9n9n9n9n9n9n9n9n91),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"這要分兩種情況討論

第一是高房價 高物價 沒錢生不起
如果是這樣 那可以怪政府

第二種情況是像徐巧芯 吳斯瑤 高虹安 那樣
不是沒錢 也不是買不起房子
而是我就是不想生

如果是第二種情況是大多數 生育補助 育兒津貼 凍卵補助
這都沒用




"
monarch0301 (席哈),Gossiping,[問卦] 研擬協助台女生小孩的政策不算共產吧？,2024-02,問卦,"人力資源就是國家資源

用國有地協助台女生養人力資源

不會被歸類為搞共產吧？

就讓台女嫁給國家

愛生誰的小孩就生誰的小孩

要生外國人的也可以

兩個以內 國家養

要多生就不行

因為多生妳未必帶的好

國家要的是可以投入正當行業穩定經濟物價的

不是那些不事生產的廢物

養出來的人也可以充實國軍人力

土地只屬於有能力保護它的人

這樣的執政方向

會被當作是搞共產嗎？

有沒有八卦？

我已經寫過很多文章主張納稅人應該善用本來就屬於自己的國家資源穩定自己的國家跟後半
輩子的生活品質

不應該讓政府一直盜賣國有地給建商去套弄成私人財產

導致物價被租金帶上去遮蔽人民的生存空間

請鄉民一起參與討論吧

"
zuvio (zz),Gossiping,[問卦] 沒人發現台女再不生小孩 台灣自動滅亡嗎,2024-02,問卦,"我發現很多人以為存錢就能養老

卻沒想過存再多錢也是白費力氣

因為三四十年後通膨到爆，跟辛巴威一樣

幾千萬只買得起一塊麵包

到時候還是一樣餓死，沒辦法養老吧



為什麼會通膨到爆

因為沒人工作了阿

台女都不生小孩

每年出生人口一直衰退

十幾年後就歸零，或一年剩不到幾千

再二十年後就沒有人工作

沒人工作幣值就會瘋狂通膨

到時候就會出現辛巴威幾千萬換一塊麵包的情況

所以等你想養老的時候就會發現錢變薄了根本不夠用



然後買房來屯的會更慘

後面都沒小孩來當接盤俠了

你屯房要賣給誰

到最後房子也會變得沒有價值

為什麼都沒人發現台女不生小孩

台灣會自動滅亡啊？

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：不能接受法國人未成年做,2024-02,問卦,"上次我在女版貼文說，有個YouTuber酷說

「在法國，未成年沒做過性行為，很奇怪」

「法國人會認為你人際關係有問題」

「華人該不會都說，未成年性行為不好，禁止你們未成年做愛吧」




女版31歲台女崩潰，說：

「好噁心，酷17歲就做愛根本是戀童癖」

「正常人都愛31歲以上的啊」

「未成年就談戀愛，很不孝」


真的嗎

31歲單身台女都覺得，法國人未成年就做愛很噁心嗎

有沒有八卦？

https://youtu.be/ISn42ebHvHw?si=9QFPVRXGQe9P1l3a

"
ck960785 (Metal 0-4),Gossiping,[問卦] 有無台男搭訕台女不成就動手打人的八卦,2024-02,問卦,"以下是gpt產生的新聞稿：

112年9月6日臺灣新北地方法院一審宣判112年度審訴字第842號傷害等案,被告游x瑋(音同)
分別犯有傷害及強制罪,遭判刑拘役80日,如易科罰金新臺幣8萬元。

案發去年10月及今年2月,游x瑋兩次因搭訕女性未果,動手毆打對方男友。游x瑋與受害人素
不相識,卻仗著身強力壯,出手毆打對方頭部臉部。其中一次案發,游x瑋尾隨一名女子並強行
阻擋大門,妨害女子關門的權利。女子大聲呼救,附近居民聞聲前來解救,結果遭游x瑋毆打
。

法官審酌游x瑋與受害人不相識,犯案動機極為卑劣,加上其前科累累,缺乏法治觀念,認定其
傷害及強制罪成立,依法論處刑期,以維社會安寧。
_"
duckosara ( 達可鴨 ),Gossiping,[問卦] 台女會喜歡娘娘的男生嗎?,2024-02,問卦,"哈哈

是我啦

帥鴿鴨

公司裡有個娘娘的男生

小平頭 皮膚白  瘦瘦的 175左右

興趣是洗手  對  就是洗手

目前45歲左右 但看起來只有30  保養得很好

有沒有甲甲想認識的

喔  不

有沒有台女想認識的

可以推文留言

"
zangetsu9006 (台灣是平行時空),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"好了啦，你就算這樣，也不會有正妹想跟你生小孩啦！

我就不懂了，追正妹的自動工具人這麼多

你們到底哪裡來的自信贏過其他自動工具人

都是自動工具人有差嗎？

最後還不是一定輸給高富帥

再說台女要生也被酸，不生也被酸

https://i.imgur.com/L7WFOIL.jpg

話都給你們說就好了

與其每天都在抱團取暖，還不如趕快行動

看是要出國豔遇還是爭取一妻多夫制

才能彌補每年女嬰都比男嬰少6～10%，台男娶不到老婆又不肯當龍騎士的數量差距



"
s10130804 (台北觀察家),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"不是啊就算是台男也不會想養小孩吧
寵物只要你愛牠餵牠帶牠出去玩
牠也無條件愛你

餵狗三日，記你三年；養人三年，只記三天

養個小孩花錢還要擔心他學壞交到壞朋友
不然就路上走著走著就變孝子被鬼島交通收到了
老了他/她也只惦記你的遺產而已吧
不要為了一時爽不戴套好嗎

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：未滿18就不是處女處男不,2024-02,問卦,"看到版上在討論未成年性行為的貼文

很多31歲單身台女說，

「未成年怎麼可以談戀愛」

「萬一不是處男處女怎麼辦」

「噁心，根本是戀童癖」

真的嗎

31歲單身台女真的覺得，未滿18非處男處女很不孝嗎

有沒有八卦？

"
christopherl (Crystal~++),Gossiping,[問卦] 55歲台女：足以引起我兒子性慾的都禁止,2024-02,問卦,"看到台灣很多55歲台女，不能接受未成年人類有性慾

「好噁心，我兒子怎麼可能有性慾」

「應該要把所有足以引起性慾的東西都禁止」

「未成年有性慾根本是戀童癖」


真的嗎

台女真的覺得，未成年有性慾很噁心嗎

有沒有八卦？

"
Oilboy (油膩Boy),Gossiping,[問卦] 台女是不是很愛穿醜鞋,2024-02,問卦,"
根據我通勤時觀察台女的經驗

很多台女（僅限辣妹 阿嬤不討論）穿的鞋子都超醜

明明衣服穿很辣 或是西裝外套加黑絲

結果鞋子穿超醜 尤其是那種鞋子屁股有一塊大橡膠還什麼的

有人知道為什麼鞋子要這樣穿嗎
"
christopherl (Crystal~++),Gossiping,[問卦] 45歲台女團體：iWIN可以避免兒子被性污,2024-02,問卦,"看到很多台女支持iWIN

「噁心，未成年怎麼可以有性慾」

「萬一我的兒子學會性行為怎麼辦」

「我兒子還未成年，不可能有性慾」

「如果我兒子談戀愛，一定打死他」

真的嗎

45歲台女團體，真的覺得性行為很噁心，兒子不能性被污染嗎

有沒有八卦？

"
feng19890809 (習近平(近平)),Gossiping,[問卦] 台女露營YT拍攝者都是誰啊?,2024-02,問卦,"標題打 單人露營

但都經過剪接過，奇妙的是 為啥台女躺著，做菜 鏡頭還會移動?

阿不是說單人嗎?


然後角度都很故意，他媽的要露就露，一直遮遮掩掩的有夠不乾脆

台女心機真的很重

一群死肥宅斗內斗殺小

有夠噁的

有卦否?

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：iwin避免兒子被性污染,2024-02,問卦,"看到版上很多31歲單身台女說

「未成年怎麼可以被性污染」

「未成年有性慾根本是戀童癖」

「好噁心，正常人都愛31歲以上的」

「iWIN可以讓我兒子不會被性污染」

真的嗎

31歲單身台女真的覺得，兒子有性慾很噁心嗎

有沒有八卦？

"
herex (魔導戰士破壞者),Gossiping,[問卦] 台女被歐巴老公狠狠揍一頓會報警嗎,2024-02,問卦,"
安安如題

眾所周知韓國是一個女權低落的地方

如果是某些崇拜韓國的台女嫁給韓男

卻沒有好好侍奉歐巴大人

被超派鐵拳狠狠打一頓 會不會報警處理？

如果是被台男打

早就告到對方脫褲子都不夠賠吧

如果被韓男揍會比照辦理嗎？

有掛？




"
deitly (一萬光年的愛情),Gossiping,[問卦] 如何委婉的跟台女說她的刺青超醜,2024-02,問卦,"台女刺青的很多，沒有要戰刺不刺青拉
但有些真的刺的很醜，像是手臂上畫五芒星跟六芒星
該怎麼委婉的跟她說，請她去雷射掉呢

這會不會是台灣少子化的潛在可能因素
挂？


"
leocean9816 (阿光),Gossiping,[新聞] 台女兵公然毆打軍官 兩大過汰除法辦,2024-02,新聞,"世界日報/程嘉文

台女兵公然毆打軍官 兩大過汰除法辦

義務役恢復為一年，部隊管理問題備受各界關注。就在此時，海軍繼光號巡防艦發生公開
暴行犯上事件：一名入伍不到半年的廖姓女兵，因點名缺席被艦上軍官糾正，突然攻擊長
官，導致對方外傷。海軍司令部表示，已將其移送法辦，同時記兩大過汰除。

舷號1105的繼光艦，是國造成功級巡防艦的第三艘，隸屬馬公基地的146艦隊。本案發生
於上月16日，當天繼光艦泊靠碼頭，上午早點名時，廖姓二等兵未到場。艦上理事官隨後
由女性幹部陪同，前往住艙找人，發現廖員將自己反鎖在廁所內。經過勸說仍不開門，理
事官於是要求女幹部入內將其拉出來。廖姓女兵一出廁所就情緒爆發，大罵理事官專門針
對她找麻煩，隨即在眾人面前，對理事官拳打腳踢。

海軍司令部對此表示，依據刑懲併行原則，已將廖員依陸海空軍刑法的違反部屬職責罪移
送檢方偵辦，同步給予大過兩次並且汰除的行政懲處，以正綱紀。依陸海空軍刑法第49條
規定，對長官施強暴、脅迫或恐嚇者，處一年至七年徒刑。

海軍的理事官等於陸軍的值星官，由單位內幹部輪值擔任：軍官擔任理事官，士官擔任副
理事官。官員透露，廖姓女兵入伍至今不到半年，軍階還只是二等兵，艦上幹部先前就發
現，她有生活自律不佳、情緒控管不良等問題，已經被列為重點對象。

近年軍事訓練役的四個月受訓期間，就已頻傳抗命與暴行犯上的案例，如今義務役恢復一
年，外界普遍憂心情況將更嚴重。國防部副部長徐衍璞日前特別為此拜會台北地檢署，舉
行「軍事暨國安案件偵辦聯繫平台會議」，會中也對影響部隊領導統御案件，達成速查嚴
辦的共識，必要時建請法院從重量刑。

https://www.worldjournal.com/wj/story/121475/7752200

"
rickysu303 (Ricky),Gossiping,[問卦] 肥宅跟台女哪個族群顏值低,2024-02,問卦,"肥宅跟台女是台灣兩大族群

那麼這兩個族群

哪個顏值低

讓人看了後會倒胃口呢


"
L1ON (我是獅子~(ﾉﾟ▽ﾟ)ﾉ♪),Gossiping,Re: [問卦] 31歲單身台女：為什麼談戀愛都找年輕的,2024-02,問卦,"
先不說你跟他是有多深仇大恨
要每天31歲單身台女怎樣怎樣的

31歲還單身本身就是個大問題
不是長太醜 太肥
不然就是個性很雞歪

更何況
能幹16歲的妹誰他媽要插31歲的肉鬆老鮑魚？

懷孕就生啊
年輕女孩就是嫩
挑到沒得挑 沒有選擇機會才會考慮31歲以上的阿姨

對了 你仇人的ID分享一下啊

嘻嘻

https://i.imgur.com/qbZVgel.jpg

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：為什麼談戀愛都找年輕的,2024-02,問卦,"看到版上很多31歲單身台女，不能接受未滿18歲談戀愛

「好噁心，根本是戀童癖」

「萬一有性行為怎麼辦」

「萬一懷孕了怎麼辦」

「正常人都愛31歲以上的，喜歡未成年的根本是戀童癖」

真的嗎

31歲單身台女真的覺得，未滿18歲談戀愛是戀童癖嗎

有沒有八卦？

"
n9n9n9n9n91 (n9n9n9n9n9n9n9n9n9n9n91),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"這要分兩種情況討論

第一是高房價 高物價 沒錢生不起
如果是這樣 那可以怪政府

第二種情況是像徐巧芯 吳斯瑤 高虹安 那樣
不是沒錢 也不是買不起房子
而是我就是不想生

如果是第二種情況是大多數 生育補助 育兒津貼 凍卵補助
這都沒用




"
monarch0301 (席哈),Gossiping,[問卦] 研擬協助台女生小孩的政策不算共產吧？,2024-02,問卦,"人力資源就是國家資源

用國有地協助台女生養人力資源

不會被歸類為搞共產吧？

就讓台女嫁給國家

愛生誰的小孩就生誰的小孩

要生外國人的也可以

兩個以內 國家養

要多生就不行

因為多生妳未必帶的好

國家要的是可以投入正當行業穩定經濟物價的

不是那些不事生產的廢物

養出來的人也可以充實國軍人力

土地只屬於有能力保護它的人

這樣的執政方向

會被當作是搞共產嗎？

有沒有八卦？

我已經寫過很多文章主張納稅人應該善用本來就屬於自己的國家資源穩定自己的國家跟後半
輩子的生活品質

不應該讓政府一直盜賣國有地給建商去套弄成私人財產

導致物價被租金帶上去遮蔽人民的生存空間

請鄉民一起參與討論吧

"
zuvio (zz),Gossiping,[問卦] 沒人發現台女再不生小孩 台灣自動滅亡嗎,2024-02,問卦,"我發現很多人以為存錢就能養老

卻沒想過存再多錢也是白費力氣

因為三四十年後通膨到爆，跟辛巴威一樣

幾千萬只買得起一塊麵包

到時候還是一樣餓死，沒辦法養老吧



為什麼會通膨到爆

因為沒人工作了阿

台女都不生小孩

每年出生人口一直衰退

十幾年後就歸零，或一年剩不到幾千

再二十年後就沒有人工作

沒人工作幣值就會瘋狂通膨

到時候就會出現辛巴威幾千萬換一塊麵包的情況

所以等你想養老的時候就會發現錢變薄了根本不夠用



然後買房來屯的會更慘

後面都沒小孩來當接盤俠了

你屯房要賣給誰

到最後房子也會變得沒有價值

為什麼都沒人發現台女不生小孩

台灣會自動滅亡啊？

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：不能接受法國人未成年做,2024-02,問卦,"上次我在女版貼文說，有個YouTuber酷說

「在法國，未成年沒做過性行為，很奇怪」

「法國人會認為你人際關係有問題」

「華人該不會都說，未成年性行為不好，禁止你們未成年做愛吧」




女版31歲台女崩潰，說：

「好噁心，酷17歲就做愛根本是戀童癖」

「正常人都愛31歲以上的啊」

「未成年就談戀愛，很不孝」


真的嗎

31歲單身台女都覺得，法國人未成年就做愛很噁心嗎

有沒有八卦？

https://youtu.be/ISn42ebHvHw?si=9QFPVRXGQe9P1l3a

"
ck960785 (Metal 0-4),Gossiping,[問卦] 有無台男搭訕台女不成就動手打人的八卦,2024-02,問卦,"以下是gpt產生的新聞稿：

112年9月6日臺灣新北地方法院一審宣判112年度審訴字第842號傷害等案,被告游x瑋(音同)
分別犯有傷害及強制罪,遭判刑拘役80日,如易科罰金新臺幣8萬元。

案發去年10月及今年2月,游x瑋兩次因搭訕女性未果,動手毆打對方男友。游x瑋與受害人素
不相識,卻仗著身強力壯,出手毆打對方頭部臉部。其中一次案發,游x瑋尾隨一名女子並強行
阻擋大門,妨害女子關門的權利。女子大聲呼救,附近居民聞聲前來解救,結果遭游x瑋毆打
。

法官審酌游x瑋與受害人不相識,犯案動機極為卑劣,加上其前科累累,缺乏法治觀念,認定其
傷害及強制罪成立,依法論處刑期,以維社會安寧。
_"
duckosara ( 達可鴨 ),Gossiping,[問卦] 台女會喜歡娘娘的男生嗎?,2024-02,問卦,"哈哈

是我啦

帥鴿鴨

公司裡有個娘娘的男生

小平頭 皮膚白  瘦瘦的 175左右

興趣是洗手  對  就是洗手

目前45歲左右 但看起來只有30  保養得很好

有沒有甲甲想認識的

喔  不

有沒有台女想認識的

可以推文留言

"
zangetsu9006 (台灣是平行時空),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"好了啦，你就算這樣，也不會有正妹想跟你生小孩啦！

我就不懂了，追正妹的自動工具人這麼多

你們到底哪裡來的自信贏過其他自動工具人

都是自動工具人有差嗎？

最後還不是一定輸給高富帥

再說台女要生也被酸，不生也被酸

https://i.imgur.com/L7WFOIL.jpg

話都給你們說就好了

與其每天都在抱團取暖，還不如趕快行動

看是要出國豔遇還是爭取一妻多夫制

才能彌補每年女嬰都比男嬰少6～10%，台男娶不到老婆又不肯當龍騎士的數量差距



"
s10130804 (台北觀察家),Gossiping,Re: [問卦] 現代台女都只想養貓狗不想生小孩?,2024-02,問卦,"不是啊就算是台男也不會想養小孩吧
寵物只要你愛牠餵牠帶牠出去玩
牠也無條件愛你

餵狗三日，記你三年；養人三年，只記三天

養個小孩花錢還要擔心他學壞交到壞朋友
不然就路上走著走著就變孝子被鬼島交通收到了
老了他/她也只惦記你的遺產而已吧
不要為了一時爽不戴套好嗎

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：未滿18就不是處女處男不,2024-02,問卦,"看到版上在討論未成年性行為的貼文

很多31歲單身台女說，

「未成年怎麼可以談戀愛」

「萬一不是處男處女怎麼辦」

「噁心，根本是戀童癖」

真的嗎

31歲單身台女真的覺得，未滿18非處男處女很不孝嗎

有沒有八卦？

"
christopherl (Crystal~++),Gossiping,[問卦] 55歲台女：足以引起我兒子性慾的都禁止,2024-02,問卦,"看到台灣很多55歲台女，不能接受未成年人類有性慾

「好噁心，我兒子怎麼可能有性慾」

「應該要把所有足以引起性慾的東西都禁止」

「未成年有性慾根本是戀童癖」


真的嗎

台女真的覺得，未成年有性慾很噁心嗎

有沒有八卦？

"
Oilboy (油膩Boy),Gossiping,[問卦] 台女是不是很愛穿醜鞋,2024-02,問卦,"
根據我通勤時觀察台女的經驗

很多台女（僅限辣妹 阿嬤不討論）穿的鞋子都超醜

明明衣服穿很辣 或是西裝外套加黑絲

結果鞋子穿超醜 尤其是那種鞋子屁股有一塊大橡膠還什麼的

有人知道為什麼鞋子要這樣穿嗎
"
christopherl (Crystal~++),Gossiping,[問卦] 45歲台女團體：iWIN可以避免兒子被性污,2024-02,問卦,"看到很多台女支持iWIN

「噁心，未成年怎麼可以有性慾」

「萬一我的兒子學會性行為怎麼辦」

「我兒子還未成年，不可能有性慾」

「如果我兒子談戀愛，一定打死他」

真的嗎

45歲台女團體，真的覺得性行為很噁心，兒子不能性被污染嗎

有沒有八卦？

"
feng19890809 (習近平(近平)),Gossiping,[問卦] 台女露營YT拍攝者都是誰啊?,2024-02,問卦,"標題打 單人露營

但都經過剪接過，奇妙的是 為啥台女躺著，做菜 鏡頭還會移動?

阿不是說單人嗎?


然後角度都很故意，他媽的要露就露，一直遮遮掩掩的有夠不乾脆

台女心機真的很重

一群死肥宅斗內斗殺小

有夠噁的

有卦否?

"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：iwin避免兒子被性污染,2024-02,問卦,"看到版上很多31歲單身台女說

「未成年怎麼可以被性污染」

「未成年有性慾根本是戀童癖」

「好噁心，正常人都愛31歲以上的」

「iWIN可以讓我兒子不會被性污染」

真的嗎

31歲單身台女真的覺得，兒子有性慾很噁心嗎

有沒有八卦？

"
herex (魔導戰士破壞者),Gossiping,[問卦] 台女被歐巴老公狠狠揍一頓會報警嗎,2024-02,問卦,"
安安如題

眾所周知韓國是一個女權低落的地方

如果是某些崇拜韓國的台女嫁給韓男

卻沒有好好侍奉歐巴大人

被超派鐵拳狠狠打一頓 會不會報警處理？

如果是被台男打

早就告到對方脫褲子都不夠賠吧

如果被韓男揍會比照辦理嗎？

有掛？




"
deitly (一萬光年的愛情),Gossiping,[問卦] 如何委婉的跟台女說她的刺青超醜,2024-02,問卦,"台女刺青的很多，沒有要戰刺不刺青拉
但有些真的刺的很醜，像是手臂上畫五芒星跟六芒星
該怎麼委婉的跟她說，請她去雷射掉呢

這會不會是台灣少子化的潛在可能因素
挂？


"
leocean9816 (阿光),Gossiping,[新聞] 台女兵公然毆打軍官 兩大過汰除法辦,2024-02,新聞,"世界日報/程嘉文

台女兵公然毆打軍官 兩大過汰除法辦

義務役恢復為一年，部隊管理問題備受各界關注。就在此時，海軍繼光號巡防艦發生公開
暴行犯上事件：一名入伍不到半年的廖姓女兵，因點名缺席被艦上軍官糾正，突然攻擊長
官，導致對方外傷。海軍司令部表示，已將其移送法辦，同時記兩大過汰除。

舷號1105的繼光艦，是國造成功級巡防艦的第三艘，隸屬馬公基地的146艦隊。本案發生
於上月16日，當天繼光艦泊靠碼頭，上午早點名時，廖姓二等兵未到場。艦上理事官隨後
由女性幹部陪同，前往住艙找人，發現廖員將自己反鎖在廁所內。經過勸說仍不開門，理
事官於是要求女幹部入內將其拉出來。廖姓女兵一出廁所就情緒爆發，大罵理事官專門針
對她找麻煩，隨即在眾人面前，對理事官拳打腳踢。

海軍司令部對此表示，依據刑懲併行原則，已將廖員依陸海空軍刑法的違反部屬職責罪移
送檢方偵辦，同步給予大過兩次並且汰除的行政懲處，以正綱紀。依陸海空軍刑法第49條
規定，對長官施強暴、脅迫或恐嚇者，處一年至七年徒刑。

海軍的理事官等於陸軍的值星官，由單位內幹部輪值擔任：軍官擔任理事官，士官擔任副
理事官。官員透露，廖姓女兵入伍至今不到半年，軍階還只是二等兵，艦上幹部先前就發
現，她有生活自律不佳、情緒控管不良等問題，已經被列為重點對象。

近年軍事訓練役的四個月受訓期間，就已頻傳抗命與暴行犯上的案例，如今義務役恢復一
年，外界普遍憂心情況將更嚴重。國防部副部長徐衍璞日前特別為此拜會台北地檢署，舉
行「軍事暨國安案件偵辦聯繫平台會議」，會中也對影響部隊領導統御案件，達成速查嚴
辦的共識，必要時建請法院從重量刑。

https://www.worldjournal.com/wj/story/121475/7752200

"
rickysu303 (Ricky),Gossiping,[問卦] 肥宅跟台女哪個族群顏值低,2024-02,問卦,"肥宅跟台女是台灣兩大族群

那麼這兩個族群

哪個顏值低

讓人看了後會倒胃口呢


"
